All genes,MGI essential,Autosomal dominant,Haploinsufficient,High pLI,High Shet,High Phi,High missense z,ClinVar,OMIM,GWAS nearest,TF,DrugBank,High EDS,Olfactory,eQTL0-deficient
248,949,2668,161742,1272,1406,6721,1981,528,860,602,3200,3356,1017,219438,360030
249,983,2670,170302,1277,1408,6830,1994,529,861,604,3201,3357,1021,219447,3458
250,984,2672,284058,1278,1431,6840,1995,537,866,605,3202,3358,1029,219453,160419
251,991,2688,,1280,1432,6942,2011,538,867,607,3203,3359,1031,219464,55801
257,993,2697,,1281,1434,6949,2043,539,871,611,3204,3360,1044,219469,50616
258,998,2700,,1282,1435,7074,2048,540,875,624,3205,3454,1045,219473,90070
259,1000,2702,,1287,1437,7082,2049,545,889,627,3206,3455,1050,219477,440077
262,1003,2703,,1288,1442,7094,2063,546,915,629,3207,3459,1059,219479,57379
265,1017,2737,,1289,1445,7109,2064,547,916,635,3209,3480,1073,219484,121364
266,1019,2746,,1290,1452,7143,2107,549,919,638,3211,3551,1112,219487,254783
267,1020,2778,,1291,1453,7155,2145,551,920,639,3212,3553,1117,219493,341416
268,1024,2779,,1301,1454,7158,2146,554,925,640,3213,3554,1124,219858,196477
269,1028,2811,,1302,1455,7159,2186,567,930,643,3214,3559,1124,219865,1833
270,1041,2821,,1303,1456,7174,2200,570,931,649,3215,3560,1128,219869,23389
271,1045,2896,,1314,1457,7175,2210,575,948,650,3216,3566,1130,219870,4617
272,1050,2908,,1315,1459,7204,2245,576,950,651,3217,3567,1140,219874,338809
273,1051,2934,,1316,1460,7227,2318,577,958,652,3218,3568,1154,219875,386653
274,1054,2956,,1363,1474,7290,2324,579,959,653,3219,3569,1163,219952,5367
275,1058,2978,,1374,1477,7402,2475,580,960,654,3221,3570,1181,219954,50836
276,1060,2979,,1385,1487,7461,2526,581,966,655,3222,3590,1192,219956,283463
277,1062,3000,,1387,1493,7750,2534,582,973,659,3223,3593,1200,219957,353164
278,1072,3039,,1393,1499,7764,2550,583,974,662,3224,3605,1233,219958,51202
279,1080,3040,,1400,1501,7786,2551,585,975,665,3225,3614,1236,219959,3888
280,1103,3045,,1408,1523,7862,2554,590,977,667,3226,3643,1244,219960,8074
283,1106,3047,,1431,1536,7871,2555,593,987,669,3227,3674,1266,219965,2251
284,1111,3048,,1432,1537,7874,2558,594,990,671,3228,3676,1267,219968,3375
285,1113,3053,,1434,1602,7916,2560,607,999,672,3229,3683,1268,219981,5094
286,1119,3060,,1435,1605,7994,2562,611,1001,673,3231,3690,1271,219982,8085
287,1121,3064,,1436,1618,8120,2563,613,1013,675,3232,3716,1272,219983,121549
288,1134,3084,,1445,1620,8189,2645,617,1026,676,3233,3736,1277,219986,1610
290,1136,3110,,1452,1627,8289,2648,623,1027,677,3234,3757,1278,254783,646799
291,1137,3145,,1453,1628,8295,2664,624,1029,678,3235,3758,1280,254786,1361
292,1139,3172,,1454,1641,8454,2673,627,1041,683,3236,3767,1290,254879,8796
293,1146,3207,,1455,1642,8455,2700,629,1053,685,3237,3777,1292,254973,404785
301,1147,3209,,1456,1653,8467,2710,631,1071,686,3238,3778,1293,255725,390439
302,1173,3236,,1457,1654,8470,2742,632,1073,687,3239,3791,1294,256144,122748
306,1182,3239,,1459,1655,8499,2744,633,1075,688,3280,3815,1295,256148,390442
307,1186,3265,,1460,1656,8500,2746,640,1080,705,3297,3818,1301,256892,493901
308,1200,3299,,1462,1660,8502,2767,641,1103,706,3298,3849,1303,282763,341799
309,1207,3418,,1477,1665,8546,2771,644,1109,713,3299,3953,1305,282770,283598
310,1208,3614,,1479,1673,8603,2774,649,1120,714,3344,3973,1306,282775,84684
311,1258,3630,,1487,1678,8621,2775,650,1121,715,3394,3992,1307,283093,122665
312,1260,3664,,1495,1735,8642,2776,652,1123,716,3431,4023,1308,283111,388015
313,1270,3673,,1496,1736,8646,2778,653,1130,717,3516,4072,1316,283159,26533
314,1271,3708,,1499,1741,8647,2781,655,1131,718,3607,4074,1371,283160,26534
316,1272,3717,,1500,1742,8648,2782,657,1134,719,3642,4128,1373,283162,56936
317,1277,3736,,1501,1745,8661,2783,658,1135,721,3651,4129,1381,283189,140801
318,1278,3741,,1503,1746,8805,2826,659,1137,722,3659,4151,1382,283297,55237
319,1280,3748,,1523,1759,8826,2828,667,1140,725,3660,4311,1410,283365,387332
320,1281,3753,,1536,1778,8899,2830,668,1141,731,3661,4312,1462,283617,55195
321,1282,3757,,1537,1785,8911,2848,669,1144,732,3662,4318,1464,283694,100996331
322,1284,3759,,1540,1786,8924,2849,672,1145,733,3663,4352,1493,284383,100287399
323,1289,3762,,1600,1794,8925,2870,673,1146,735,3664,4360,1500,284433,54567
324,1290,3767,,1601,1808,8927,2885,675,1147,741,3665,4543,1501,284521,54551
325,1294,3769,,1602,1809,9026,2890,676,1161,744,3670,4547,1540,284532,100820829
326,1300,3778,,1605,1810,9031,2891,680,1180,745,3725,4548,1544,285659,27023
327,1301,3784,,1606,1812,9043,2892,686,1181,746,3726,4731,1581,286362,145942
328,1303,3785,,1612,1820,9044,2893,695,1182,747,3727,4881,1592,286365,113189
329,1308,3786,,1618,1822,9101,2899,699,1184,753,3975,4985,1601,338662,338949
330,1310,3791,,1620,1826,9126,2901,701,1186,754,4009,4986,1601,338674,145645
331,1316,3798,,1627,1831,9129,2902,708,1187,755,4010,4988,1602,338675,342096
332,1317,3815,,1630,1839,9135,2904,710,1188,759,4057,5021,1606,338751,399697
333,1326,3848,,1642,1841,9175,2909,712,1200,761,4066,5029,1612,338755,653808
334,1355,3849,,1653,1844,9181,2911,713,1201,763,4084,5053,1620,340980,54620
335,1361,3850,,1654,1845,9202,2912,714,1203,765,4086,5133,1627,341152,4992
336,1366,3851,,1655,1848,9231,2913,715,1234,773,4088,5139,1633,341276,646174
337,1374,3852,,1656,1852,9254,2914,716,1244,775,4089,5141,1649,341416,729355
338,1375,3853,,1657,1857,9276,2915,717,1258,776,4090,5142,1674,341418,24150
339,1385,3854,,1659,1859,9320,2931,718,1259,777,4093,5144,1729,341568,91807
341,1387,3857,,1660,1869,9344,2935,719,1261,779,4094,5156,1742,341799,123970
343,1398,3858,,1665,1870,9353,2969,720,1272,780,4097,5159,1745,343169,283953
344,1399,3859,,1718,1871,9354,2975,726,1278,781,4149,5170,1746,343171,5620
345,1404,3860,,1730,1879,9372,3014,727,1280,783,4150,5241,1749,343172,4490
346,1432,3861,,1736,1889,9378,3015,729,1281,785,4152,5243,1750,343173,124274
347,1434,3868,,1739,1896,9411,3020,730,1282,795,4204,5290,1759,343406,348158
348,1435,3872,,1741,1909,9416,3021,731,1284,797,4205,5319,1760,343563,146779
350,1436,3887,,1742,1911,9451,3038,732,1285,799,4208,5340,1762,346517,6346
351,1437,3889,,1743,1915,9472,3054,735,1286,813,4209,5406,1776,346525,3837
353,1445,3892,,1745,1917,9475,3065,745,1287,815,4211,5422,1780,346528,30009
